id,special_cond,light,weather,wind,wind_speed,precipitation,visibility
A-91585,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91598,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91605,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-91607,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91614,Unknown,Daylight,Fair,Other,16.1,NA,10
A-91621,Unknown,Daylight,Fair,Other,12.7,NA,10
A-91622,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91623,RoadHighwayJunction,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91624,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91625,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91626,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91644,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91647,Other,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-91649,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91653,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,6.9,NA,10
A-91658,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91675,Unknown,Daylight,Other,Other,9.2,0,10
A-91676,Unknown,Daylight,Other,Other,4.6,NA,10
A-91681,RoadHighwayJunction,Daylight,Other,Other,8.1,NA,10
A-91683,Unknown,Darkness_Lights_Unlit,Other,Other,8.1,NA,10
A-91687,Signal_StopSign,Darkness_Lights_Unlit,Other,Other,8.1,NA,10
A-91688,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-91689,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,11.5,NA,10
A-91696,Unknown,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-91698,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91699,Unknown,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-91701,Unknown,Daylight,Raining,Other,11.5,0.02,10
A-91712,Unknown,Daylight,Other,Other,8.1,NA,10
A-91716,Unknown,Daylight,Raining,Other,18.4,0.42,1.2
A-91722,Signal_StopSign,Daylight,Raining,Other,17.3,0.44,4
A-91734,Unknown,Darkness_Lights_Unlit,Other,Other,9.2,NA,10
A-91738,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,6.9,NA,10
A-91766,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91768,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91771,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91774,Unknown,Daylight,Other,Unknown,NA,NA,10
A-91776,Signal_StopSign,Daylight,Fair,Unknown,NA,NA,10
A-91782,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91805,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91806,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91807,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91810,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91811,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91812,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91831,Unknown,Daylight,Other,Unknown,NA,NA,10
A-91837,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91855,Signal_StopSign,Daylight,Fair,Other,8.1,NA,10
A-91863,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91864,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91866,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91872,RoadHighwayJunction,Daylight,Fair,Other,10.4,NA,10
A-91873,Unknown,Daylight,Fair,Other,8.1,NA,10
A-91875,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91883,Unknown,Darkness_Lights_Lit,Raining,Other,8.1,0.05,10
A-91887,RoadHighwayJunction,Darkness_Lights_Lit,Raining,Other,19.6,0.02,6
A-91889,Unknown,Darkness_Lights_Lit,Raining,Other,19.6,0.02,6
A-91890,Unknown,Darkness_Lights_Lit,Raining,Other,19.6,0.02,6
A-91902,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91904,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91919,RoadHighwayJunction,Daylight,Fair,Other,8.1,NA,10
A-91923,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91924,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91930,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91931,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,5.8,NA,10
A-91959,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91960,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91989,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91990,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91995,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,9.2,NA,10
A-92000,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92003,Unknown,Daylight,Fair,Other,11.5,NA,10
A-92007,Unknown,Daylight,Fair,Other,10.4,NA,10
A-92010,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92011,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92035,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92036,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92037,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92038,Other,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92039,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92050,Signal_StopSign,Daylight,Other,Other,5.8,NA,10
A-92055,Unknown,Daylight,Other,Other,6.9,NA,10
A-92058,Signal_StopSign,Daylight,Other,Other,6.9,NA,10
A-92073,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-92074,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92080,Unknown,Daylight,Fair,Other,5.8,NA,10
A-92083,Signal_StopSign,Daylight,Fair,Other,8.1,NA,10
A-92084,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92088,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92096,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92099,Unknown,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-92101,Unknown,Darkness_Lights_Unlit,Fair,Other,6.9,NA,10
A-92103,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-92105,Unknown,Daylight,Fair,Other,8.1,NA,10
A-92113,Other,Daylight,Fair,Other,4.6,NA,10
A-92118,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92119,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92120,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92126,Signal_StopSign,Darkness_Lights_Unlit,Fair,Other,6.9,NA,10
A-92135,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92139,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-92140,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-92148,Signal_StopSign,Daylight,Other,Other,3.5,NA,10
A-92149,Unknown,Daylight,Other,Other,4.6,NA,10
A-92151,RoadHighwayJunction,Daylight,Other,Other,9.2,NA,10
A-92155,RoadHighwayJunction,Daylight,Other,Other,5.8,NA,10
A-92157,RoadHighwayJunction,Daylight,Other,Other,5.8,NA,10
A-92159,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92161,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92169,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-92175,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92177,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92209,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92210,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92212,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92213,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92220,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92224,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92225,RoadHighwayJunction,Daylight,Fair,Other,5.8,NA,10
A-92227,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92232,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92233,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92234,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92236,RoadHighwayJunction,Daylight,Fair,Other,5.8,NA,10
A-92237,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92240,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92242,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92244,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92252,Unknown,Daylight,Fair,Other,8.1,NA,10
A-92254,Unknown,Daylight,Other,Other,6.9,NA,10
A-92269,RoadHighwayJunction,Daylight,Other,Other,3.5,NA,10
A-92278,RoadHighwayJunction,Daylight,Other,Other,6.9,0,10
A-92280,Unknown,Daylight,Fair,Other,6.9,0,10
A-92281,Unknown,Darkness_Lights_Lit,Other,Other,6.9,0,10
A-92282,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92288,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92289,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92305,Unknown,Daylight,Other,Other,9.2,0,10
A-92306,Signal_StopSign,Daylight,Raining,Other,3.5,0.02,10
A-92308,Unknown,Daylight,Raining,Other,4.6,0.04,8
A-92309,Unknown,Daylight,Raining,Other,4.6,0.04,8
A-92311,Unknown,Daylight,Raining,Other,10.4,0.04,6
A-92314,Signal_StopSign,Darkness_Lights_Lit,Raining,Other,11.5,0.07,10
A-92338,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-92353,Unknown,Daylight,Other,Other,6.9,NA,10
A-92359,Unknown,Daylight,Fair,Other,13.8,NA,10
A-92361,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92365,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92374,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92376,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-92379,Signal_StopSign,Daylight,Fair,Other,3.5,NA,10
A-92380,Other,Daylight,Fair,Other,3.5,NA,10
A-92381,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92385,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
A-92390,Unknown,Daylight,Other,Other,11.5,NA,10
A-92396,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92399,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92400,Other,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-92401,Signal_StopSign,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-92403,Unknown,Daylight,Fair,Other,5.8,NA,10
A-92404,Unknown,Daylight,Fair,Other,5.8,NA,10
A-92405,Unknown,Daylight,Fair,Other,5.8,NA,10
A-92407,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92419,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92430,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92431,Signal_StopSign,Daylight,Fair,Unknown,NA,NA,10
A-92436,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92444,Unknown,Daylight,Fair,Unknown,NA,NA,20
A-92449,Other,Darkness_Lights_Lit,Fair,Other,9.2,NA,10
A-92453,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92454,Unknown,Daylight,Fair,Other,9.2,NA,10
A-92457,Unknown,Daylight,Fair,Other,10.4,NA,10
A-92462,Unknown,Daylight,Fair,Other,17.3,NA,10
A-92468,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92470,RoadHighwayJunction,Daylight,Fair,Other,8.1,NA,10
A-92474,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92479,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92490,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92493,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92498,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92505,Unknown,Daylight,Fair,Other,8.1,NA,10
A-92508,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92509,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92510,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92511,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92516,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-92518,RoadHighwayJunction,Daylight,Fair,Other,4.6,NA,10
A-92522,Unknown,Daylight,Fair,Other,8.1,NA,10
A-92532,Unknown,Daylight,Other,Other,5.8,NA,10
A-92552,RoadHighwayJunction,Daylight,Fair,Other,5.8,NA,10
A-92554,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92557,Signal_StopSign,Daylight,Fair,Other,3.5,NA,10
A-92559,Unknown,Daylight,Fair,Other,4.6,NA,10
A-92560,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92564,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92565,Signal_StopSign,Daylight,Fair,Unknown,NA,NA,20
A-92566,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92585,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92588,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92594,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-92595,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92599,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
A-92600,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
A-92601,RoadHighwayJunction,Daylight,Fair,Other,4.6,NA,10
A-92605,Unknown,Daylight,Fair,Other,11.5,NA,10
A-92612,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92613,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92614,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92615,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92624,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92625,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92633,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92634,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,20
A-92649,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92651,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
A-92658,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92659,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-92680,RoadHighwayJunction,Daylight,Fair,Other,5.8,NA,10
A-92681,RoadHighwayJunction,Daylight,Fair,Other,5.8,NA,10
A-92684,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92687,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92688,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92695,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92696,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92698,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92699,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92700,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-92713,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92714,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92718,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92721,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92724,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92725,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,9.2,NA,10
A-92726,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,10.4,NA,10
A-92733,Unknown,Daylight,Fair,Other,11.5,NA,10
A-92760,Signal_StopSign,Daylight,Fair,Other,16.1,NA,10
A-92761,Signal_StopSign,Daylight,Fair,Other,16.1,NA,10
A-92762,Signal_StopSign,Daylight,Fair,Other,6.9,NA,20
A-92765,Unknown,Daylight,Fair,Other,12.7,NA,10
A-92766,Unknown,Daylight,Fair,Other,20.7,NA,10
A-92767,RoadHighwayJunction,Daylight,Fair,Other,20.7,NA,10
A-92769,Signal_StopSign,Daylight,Fair,Other,19.6,NA,10
A-92770,Signal_StopSign,Daylight,Fair,Other,19.6,NA,10
A-92773,Unknown,Daylight,Fair,Other,18.4,NA,10
A-92790,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92796,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-92797,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92800,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-92801,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-92802,RoadHighwayJunction,Daylight,Fair,Other,9.2,NA,10
A-92813,RoadHighwayJunction,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-92815,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92817,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92820,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-92832,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92835,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92837,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-92842,Unknown,Daylight,Fair,Unknown,NA,NA,20
A-92846,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-92850,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92858,Signal_StopSign,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-92861,Signal_StopSign,Daylight,Fair,Other,8.1,NA,10
A-92864,Unknown,Daylight,Fair,Other,3.5,NA,10
A-92868,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,20
A-92872,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-92873,Unknown,Daylight,Fair,Other,6.9,NA,10
A-92874,Signal_StopSign,Daylight,Fair,Unknown,NA,NA,20
A-92878,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-92880,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92885,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92886,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-92898,RoadHighwayJunction,Daylight,Fair,Other,9.2,NA,10
A-92909,RoadHighwayJunction,Daylight,Fair,Other,10.4,NA,10
A-92911,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,20
A-92912,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,10.4,NA,10
A-92913,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-92915,Unknown,Darkness_Lights_Lit,Fair,Other,10.4,NA,10
A-92939,RoadHighwayJunction,Daylight,Fair,Other,17.3,NA,10
A-92941,Unknown,Daylight,Fair,Other,13.8,NA,10
A-92942,Unknown,Daylight,Fair,Other,11.5,NA,20
A-92943,Pedestrian_Crossing,Daylight,Fair,Other,13.8,NA,10
A-92944,Unknown,Daylight,Fair,Other,13.8,NA,10
