department,job,timeclass,startdate,hourly_wage,regular_pay,overtime_pay,other_pay,total_pay,reg_hours,overtime_hours,total_hours
Human Services,Caseworker II,F,6/1/1998,29.46,60616,5902.08,5430.1,71948.18000000001,39.568645882291506,2.568489216147057,42.13713509843856
Water Services,Ops & Maint Tech Trnee (NC),F,9/9/2019,18.25,36804.8,768.7,742,38315.5,38.78271865121181,0.5400070249385318,39.32272567615034
Municipal Court,Court Security Officer,F,4/5/2021,20.55,30227.37,576.67,985,31789.039999999997,28.286889387984274,0.35976667290535896,28.646656060889633
Planning & Development,General Inspector I,F,10/13/2014,31.71,62512.8,0,0,62512.8,37.91136016301579,0,37.91136016301579
Street Transportation,Traffic Maintenance Worker,F,12/18/2006,24.53,47500.48,0,338.58,47839.060000000005,37.238922512465116,0,37.238922512465116
Police,Police Automated System Sec,F,7/26/2021,15.55,13186.4,416.65,479.5,14082.55,16.307692307692307,0.3435155412647373,16.651207848957043
Police,Admin Aide,F,1/30/2006,26.08,53787.2,3965.92,1983.02,59736.13999999999,39.66139688532326,1.9495831366997012,41.610980022022964
Parks and Recreation,Parks & Recreation Aide*Cash,P,4/19/2021,12.92,4875.88,400.27,75,5351.15,7.257501786139557,0.39718782249742,7.654689608636978
Human Services,Caseworker I,F,3/23/2020,19.59,39916.16,1992.66,75,41983.82000000001,39.18419915969687,1.3040797895315508,40.488278949228416
Police,Police Officer,F,2/29/2016,34.27,69992,20157.35,2723.7,92873.05,39.276334986868974,7.540926877810449,46.81726186467942
Public Works,Building Equip Op II,F,7/31/2006,31.84,65398.4,6154.49,5353.94,76906.83,39.49942017781214,2.4781318451230514,41.97755202293519
Human Services,Secretary III,F,11/9/2015,21.44,42770.8,0,75,42845.8,38.36359070034443,0,38.36359070034443
Police,Police Officer,F,12/27/1993,36.9,32767.2,4144.74,64346.94,101258.88,17.076923076923077,1.4400458619970815,18.516968938920158
Parks and Recreation,Parks Maint Mech*Plumb Install,F,5/9/2016,28.94,46461.86,0,0,46461.86,30.87412949869757,0,30.87412949869757
Water Services,Water Services Technician,F,5/17/2021,21.09,26838.4,23.73,0,26862.13,24.47240763030237,0.014425356530619689,24.48683298683299
Police,Police Records Clk,F,9/6/2021,15.55,9827.6,0,0,9827.6,12.153846153846153,0,12.153846153846153
Police,Police Sergeant,F,4/21/2008,43.89,78094.4,295.2,3146.72,81536.31999999999,34.21771211244895,0.08622955991377043,34.30394167236272
Fire,Firefighter 56hr,F,9/7/1998,29.35,88482.97,47592.1,2924.87,138999.94,57.97599921373345,20.788931114314416,78.76493032804787
Street Transportation,Trades Helper,F,12/31/2018,18.47,36260.31,1212.28,43.43,37516.02,37.75385240098288,0.841475434870129,38.595327835853006
Police,Police Officer,F,12/31/2007,37.79,77606.4,0,2512.26,80118.65999999999,39.49274329798278,0,39.49274329798278
Fire,Fire Captain 56hr,F,3/27/2006,33.55,89555.88,53996.41,6346.27,149898.56,51.333188123352066,20.633730750124194,71.96691887347626
Police,Police Officer,F,8/10/2020,26.82,51895.6,1242.4,6070.81,59208.81,37.210749727528246,0.5938928086579093,37.80464253618616
Police,Police Officer,F,11/23/2015,37.79,71652.8,12969.27,2462.76,87084.83,36.46304476153643,4.399912471756875,40.86295723329331
Public Works,Auto Technician*Master Tech,F,10/29/2012,28.31,58145.6,0,675,58820.6,39.497867021710185,0,39.497867021710185
Parks and Recreation,Recreation Coordinator III,F,8/10/1998,37.87,77929.6,0,4504.7,82434.3,39.57343949950235,0,39.57343949950235
Street Transportation,Senior Info Tech Systems Spec,F,8/6/2001,53.7,113770,0,8320.7,122090.7,40.74273026786993,0,40.74273026786993
Aviation,Electrician*Lead,F,5/19/2008,34.99,70442.1,1406.48,1863.8,73712.38,38.71551212434322,0.5153413795883073,39.23085350393153
Fire,Fire Captain 56hr,F,9/19/2011,28.48,81835.42,6961.09,6495.78,95292.29,55.25835944252377,3.133593524920772,58.39195296744454
Public Works,Auto Technician*Master Tech,F,10/2/2000,28.31,58145.6,589.48,4871.36,63606.44,39.497867021710185,0.26695287521850575,39.76481989692869
Fire,Fire Engineer 56hr,F,7/4/2005,26.95,50382.7,3367.03,2942.36,56692.09,35.95169116597688,1.601745873174445,37.553437039151326
Police,Police Officer,F,4/20/1998,37.79,77606.4,13116.83,7363.94,98087.17,39.49274329798278,4.449973198716252,43.94271649669903
Police,Police Reserves,P,6/17/2019,28.41,0,0,1150,1150,0,0,0
Parks and Recreation,Park Ranger II,F,6/26/2000,26.65,54838.4,0,21331.29,76169.69,39.57165536152403,0,39.57165536152403
Planning & Development,Curriculum/Training Coord,F,7/2/2018,29.74,3417.42,0,0,3417.42,2.2098054937664893,0,2.2098054937664893
Public Works,Solid Waste Equipment Operator,F,11/1/1999,25.73,52890.16,4494.11,2271.16,59655.43000000001,39.53044934078746,2.2392846821529293,41.76973402294039
Police,Police Officer,F,11/19/2007,37.79,77606.4,295.2,2665.08,80566.68,39.49274329798278,0.10014859445925864,39.59289189244203
Library,Librarian IV,F,3/7/1994,46.21,95086.4,0,2005,97091.4,39.571188387461916,0,39.571188387461916
Parks and Recreation,Recreation Instructor,P,5/31/2021,15.55,10423.73,0,86.2,10509.93,12.891083353945088,0,12.891083353945088
Aviation,Accountant I,F,2/26/2007,32.56,62524,0,75,62599,36.92827442827443,0,36.92827442827443
Public Works,Electrician,F,4/10/2017,30.6,61071.2,2189.89,315.6,63576.689999999995,38.3805932629462,0.9175004189710071,39.29809368191721
Fire,Firefighter 56hr,F,6/19/2017,22.61,63650.06,33641.63,2201.01,99492.7,54.13709046371585,19.075760668639926,73.21285113235578
Fire,Fire Captain 56hr,F,10/3/1994,33.55,101134.69,139401.47,12018.33,252554.49,57.970130688983154,53.26969696969698,111.23982765868013
Public Works,Solid Waste Equipment Operator,F,4/6/2009,25.73,52857.6,10800.65,746.19,64404.44,39.506113785165475,5.381650672167579,44.887764457333056
Planning & Development,Structural Plans Examiner II,F,1/5/2004,40.19,82889.6,0,10388.02,93277.62000000001,39.66237295921298,0,39.66237295921298
Police,Police Officer,F,12/3/2007,37.79,77606.4,6229.92,2566.36,86402.68,39.49274329798278,2.1135424511979157,41.60628574918069
Police,Secretary II,F,4/16/2001,20.55,42385.6,0,3275,45660.6,39.664607898184535,0,39.664607898184535
Parks and Recreation,Park Ranger II,F,3/2/2015,24.89,49148.8,555.64,2780.71,52485.15,37.97385418920172,0.2862028824262653,38.26005707162798
Public Works,Account Clerk III,F,5/16/1988,24.92,51396.8,0,6075,57471.8,39.66292134831461,0,39.66292134831461
Street Transportation,Street Maint Worker,F,8/6/2001,23.55,46481.6,0,1400.36,47881.96,37.95655724318144,0,37.95655724318144
Library,Library Circulation Attnd I,P,11/28/2011,17.97,21477.54,0,93.15,21570.690000000002,22.984397072043148,0,22.984397072043148
Planning & Development,Senior Engineering Tech,F,7/16/2018,21.57,42646.72,7753.26,884.2,51284.18,38.02175386041867,4.608287864198851,42.63004172461752
Street Transportation,Senior GIS Technician,F,9/15/2003,35.98,74032,0,5349.6,79381.6,39.568991319964084,0,39.568991319964084
Police,Secretary II*Precinct,F,8/13/2007,21.57,44368.03,0,1675.19,46043.22,39.55639064227382,0,39.55639064227382
Parks and Recreation,Recreation Instructor,P,12/3/2018,15.55,6050.81,12.08,78.48,6141.37,7.483069502844423,0.009959600956385522,7.493029103800809
Police,Police Officer,F,11/6/2006,37.79,79892.5,6196.06,2185.58,88274.14,40.6561056038431,2.102055217429655,42.75816082127276
Parks and Recreation,Parks & Recreation Dir (NC),F,10/6/1997,87.04,169833.6,0,13773.2,183606.80000000002,37.5233314479638,0,37.5233314479638
Police,Police Records Clk,F,9/30/2002,21.57,44484.8,0,2775,47259.8,39.66049712920366,0,39.66049712920366
Municipal Court,Treasury Collections Rep,F,3/20/1995,28.75,59296,21.92,5325,64642.92,39.6628762541806,0.009774804905239689,39.672651059085844
Human Services,Senior Programs Supervisor I,F,3/11/2019,26.13,46552.4,0,800.11,47352.51,34.26094380170155,0,34.26094380170155
Municipal Court,Court Interpreter*Credentialed,F,11/15/2021,35.28,4233.6,0,0,4233.6,2.3076923076923075,0,2.3076923076923075
Public Works,Equipment Op IV,F,6/8/2015,27.8,56668,2514.8,2035.85,61218.65,39.20033204205866,1.1597491237779007,40.36008116583656
Aviation,Records Clerk II,F,10/18/2021,15.55,6220,612.29,75,6907.29,7.6923076923076925,0.5048149064226234,8.197122598730315
Public Works,Solid Waste Supervisor,F,7/29/1991,34.2,70374.4,0,8543.84,78918.23999999999,39.571749887539355,0,39.571749887539355
Municipal Court,Bailiff,F,4/21/1997,23.7,48881.6,0,4825,53706.6,39.66374553716326,0,39.66374553716326
Police,Admin Aide,F,2/26/2018,19.59,36496.4,1672.42,75,38243.82,35.827148859308124,1.0945013808719783,36.9216502401801
Parks and Recreation,Recreation Coordinator III,F,10/15/2001,31.93,60530.4,0,2502.2,63032.6,36.456190223806885,0,36.456190223806885
Library,Admin Asst II,F,3/14/2016,30.34,53328,5768.11,634.8,59730.91,33.80153136250697,2.4373806264050164,36.23891198891199
Water Services,Utilities Service Spec*Water,F,2/18/2002,24.92,49564.8,0,2875,52439.8,38.24916656377331,0,38.24916656377331
Aviation,Airport Operations Technician,F,12/5/2016,22.09,44544.75,4715.41,437.25,49697.41,38.77907685343177,2.736712284245105,41.515789137676876
Police,Police Officer,F,11/18/2019,26.82,54676.8,2069.28,3476.6,60222.68,39.204956117707795,0.9891584925141973,40.194114610221995
Fire,Fire Engineer 56hr,F,4/7/2008,26.95,77426.29,4722.98,4232.58,86381.84999999999,55.24924361352933,2.246791303934161,57.49603491746349
Water Services,Accountant I,F,7/4/2016,32.56,64033.6,0,75,64108.6,37.819882819882814,0,37.819882819882814
Police,Police Sergeant,F,1/14/2008,43.89,89065.98,6175.13,4221.66,99462.77,39.025001314475,1.8037897774739877,40.828791091948986
Police,Police Officer,F,3/26/2018,30.04,61155.2,4134.73,2431.31,67721.23999999999,39.14985148007784,1.7646257980811908,40.91447727815903
Public Works,Heavy Equip Mech,F,3/23/2020,25.08,48417.82,11937.64,4114.75,64470.21,37.12567476383266,6.102339181286549,43.228013945119216
Parks and Recreation,Parks Maint Mech*Plumb Install,F,10/18/2021,22.4,8960,0,75,9035,7.6923076923076925,0,7.6923076923076925
Police,Municipal Security Guard,F,8/13/2007,22.64,46688,1362.37,2896.64,50947.01,39.65751562924708,0.7714788891909033,40.42899451843798
Aviation,Solid Waste Admin Analyst,F,5/6/2019,28.89,56865.2,0,0,56865.2,37.85259738530767,0,37.85259738530767
Aviation,Curriculum/Training Coord,F,11/4/2019,37.87,77929.6,2925,0,80854.6,39.57343949950235,0.9902297332981254,40.56366923280047
Police,Police Officer,F,9/9/2019,31.75,62417.4,3091.77,4358.85,69868.02,37.805814657783166,1.248443367655966,39.05425802543913
Police,Police Records Clk,F,5/4/2020,16.24,33003.51,2250.76,1380.3,36634.57000000001,39.081458412277385,1.7768409751168373,40.858299387394226
Police,Laboratory Technician,F,2/25/2019,19.59,33580.69,0,75,33655.69,32.9649055640633,0,32.9649055640633
Police,Police Officer,F,3/16/1994,37.79,77606.4,3003.59,5210.61,85820.59999999999,39.49274329798278,1.018988200650016,40.51173149863279
Water Services,Civil Engineer III*Team Ldr,F,4/26/2004,56.39,116036.8,0,6986.2,123023,39.57221002087113,0,39.57221002087113
Public Works,Auto Technician,F,11/7/2016,26.13,52892,0,600,53492,38.926668432983014,0,38.926668432983014
Fire,Fire Battalion Chief 56hr,F,12/11/1989,40.22,113543.36,0,10404.64,123948,54.289561259228094,0,54.289561259228094
Police,Police Officer,F,8/3/1994,37.79,77606.4,2375.84,5150.36,85132.59999999999,39.49274329798278,0.8060197718837571,40.29876306986653
Parks and Recreation,Recreation Instructor,P,1/30/2017,15.55,9245.39,707.19,77,10029.58,11.433823893148652,0.5830571357902548,12.016881028938908
Police,Admin Aide,F,10/18/2021,19.59,7836,88.16,75,7999.16,7.6923076923076925,0.05769557990078664,7.750003272208479
Fire,Firefighter 56hr,F,10/8/2018,18.53,52578.7,4380.48,2547.45,59506.62999999999,54.56712607414171,3.0307609282245003,57.597887002366214
Fire,Fire Engineer 56hr,F,1/7/2013,29.24,88152.87,53877.7,530.15,142560.72,57.977000683994525,23.623110245887265,81.6001109298818
Police,Police Reserves,P,8/29/2016,28.41,0,0,1150,1150,0,0,0
Planning & Development,Planner II,F,8/23/2021,33.55,24156,0,75,24231,13.846153846153848,0,13.846153846153848
Water Services,Curriculum/Training Coord,F,7/21/2014,30.34,61526.4,0,75,61601.4,38.99802241265656,0,38.99802241265656
Police,Police Officer,F,7/18/2016,34.27,70365.5,4219.78,2557.3,77142.58,39.485926241835195,1.5786327280345371,41.06455896986973
Parks and Recreation,Recreation Leader,P,2/9/1998,20.55,32163.14,725.92,82.1,32971.159999999996,30.098390417368517,0.45287915652879146,30.551269573897308
Water Services,Water Services Technician,F,4/28/2003,23.05,47339.2,0,2650.04,49989.24,39.49541131319873,0,39.49541131319873
Street Transportation,Chief Construction Insp,F,7/18/2016,34.99,68025.2,1919.3,86.2,70030.7,37.387165563787455,0.7032412191028938,38.09040678289035
Fire,Fire Engineer 56hr,F,1/17/2005,28.14,84832.44,42328.04,1809.87,128970.35,57.97416762342136,19.284547956189748,77.2587155796111
Aviation,Airport Operations Assistant,F,3/18/2013,26.08,53141.72,2476.11,68.4,55686.23,39.18543534686173,1.2172162576687118,40.40265160453044
Police,Police Officer,F,3/15/2004,37.79,77606.4,36068.26,3459.11,117133.77,39.49274329798278,12.236400892923784,51.72914419090656
Police,Police Lieutenant,F,5/5/1997,64.47,132955.2,65188.57,28078.36,226222.13,39.659233274868456,12.96340774679537,52.622641021663824
Police,Police Officer,F,12/5/2005,37.79,77606.4,764.39,2756.45,81127.23999999999,39.49274329798278,0.2593244719468588,39.75206776992964
Police,Forensic Scientist IV,F,12/11/2000,51.02,104979.2,0,3275.34,108254.54,39.56939963212013,0,39.56939963212013
Municipal Court,Bailiff,F,8/20/1997,23.7,48881.6,0,4575,53456.6,39.66374553716326,0,39.66374553716326
Library,Caseworker II,F,8/17/2015,24.89,50852.8,0,161.4,51014.200000000004,39.29041629322867,0,39.29041629322867
Water Services,Admin Asst II,F,12/12/2011,31.93,63669.04,0,0,63669.04,38.34652725914862,0,38.34652725914862
Human Services,Caseworker I,F,4/23/2018,20.55,38555.76,209.26,0,38765.020000000004,36.080628860190906,0.13055087653627798,36.21117973672718
Human Services,Customer Service Clerk,F,8/22/1988,19.59,40400,176.61,6075,46651.61,39.659166764832925,0.1155809478933522,39.774747712726274
Water Services,Senior Utility Operator*SCBA,F,10/4/2010,31.84,65540.8,7802.87,4946.29,78289.95999999999,39.585427135678394,3.141859135420693,42.72728627109909
Public Works,Solid Waste Foreman,F,5/25/2015,24.89,49880,9836.92,90.71,59807.63,38.53880149581234,5.06686858072957,43.60567007654191
Parks and Recreation,Recreation Instructor,P,11/20/2017,15.55,13584.76,0,79.4,13664.16,16.800346277516695,0,16.800346277516695
Parks and Recreation,Recreation Leader,P,7/20/2015,16.24,21962.3,290.67,108.48,22361.449999999997,26.006891815081474,0.22946665403561955,26.236358469117093
Street Transportation,Street Maint Foreman II,F,3/17/2014,24.89,49321.72,2159.12,75,51555.840000000004,38.107457428068116,1.1121344170761607,39.21959184514428
Human Services,Management Asst I,F,6/11/2001,34.2,70374.4,0,5984.14,76358.54,39.571749887539355,0,39.571749887539355
Parks and Recreation,Park Ranger II,F,10/5/1998,24.89,49306,303.51,1322,50931.51,38.09531167908026,0.15633402354977283,38.251645702630036
Police,Police Sergeant,F,12/3/2007,53.72,108066,216.65,2560.16,110842.81,38.68563491608912,0.05170446951906371,38.73733938560819
Police,Police Reserves,P,2/24/2020,28.41,0,0,320,320,0,0,0
Water Services,Water Customer Services Spv I,F,4/23/2018,26.13,51657.6,0,75,51732.6,38.01819305837675,0,38.01819305837675
Police,Police Comm Operator,F,11/29/2021,22.64,3622.4,0,725,4347.4,3.076923076923077,0,3.076923076923077
Fire,Firefighter 56hr,F,6/19/2017,21.5,56850.13,7695.13,2790.59,67335.84999999999,50.84984794275492,4.588628503279666,55.438476446034585
Fire,Fire Batt Chf*Deputy,F,12/30/1996,62.99,125630.4,0,10939.2,136569.6,38.354806013164485,0,38.354806013164485
Planning & Development,Deputy Planning & Dev Dir,F,12/5/1994,60.37,117472.8,0,11940.62,129413.42,37.420777003351134,0,37.420777003351134
Fire,Firefighter 56hr,F,4/27/2015,21.5,62003.03,8624.47,129.75,70757.25,55.45888193202146,5.142796660703637,60.6016785927251
Public Works,Solid Waste Foreman,F,5/21/2007,30.95,63681.6,10419.29,2522.34,76623.23,39.56853485771095,4.316014249616836,43.884549107327786
Fire,Fire Engineer 56hr,F,10/10/2016,26.95,71995.9,23674.24,7594.6,103264.74,51.3742685885543,11.262185433614007,62.63645402216831
Fire,Firefighter 56hr,F,9/26/2005,25.67,70782.2,27127.51,2864.69,100774.4,53.02672979533127,13.548445256859747,66.57517505219101
Water Services,Utilities Service Spec*Water,F,11/4/2019,20.55,39388,0,75,39463,36.859442260902114,0,36.859442260902114
Aviation,User Technology Specialist,F,12/18/2006,41.78,85972.8,31853.92,572.03,118398.75,39.572117686047804,9.774619189650304,49.346736875698106
Aviation,Accounting Supervisor,F,7/26/2010,47.57,92396.8,0,421.32,92818.12000000001,37.352565450105914,0,37.352565450105914
Street Transportation,Chief Construction Insp,F,4/14/2003,36.79,75560,0,2650.04,78210.04,39.496518702824766,0,39.496518702824766
Human Services,Caseworker II*MentalHealthSpec,F,1/19/2015,30.34,60786.8,0,75,60861.8,38.52923279752548,0,38.52923279752548
Police,Police Officer,F,5/6/2019,28.41,57102.4,1946,2336.45,61384.85,38.65269542143882,0.8781667704582171,39.530862191897036
Parks and Recreation,Lifeguard,P,4/24/2017,14.72,4217.86,76.07,0,4293.929999999999,5.510373118729096,0.06625383221850613,5.5766269509476025
Water Services,Utilities Service Spec*Lead,F,4/8/2019,20.55,40625.6,0,75,40700.6,38.017593112483624,0,38.017593112483624
Aviation,Building Equip Op I,F,3/30/2015,30.6,62852.8,1433.99,2663.42,66950.21,39.50025138260432,0.600800234623764,40.10105161722808
Fire,Firefighter 56hr,F,6/17/2019,17.98,51295.76,2421.87,2493.33,56210.96000000001,54.86412252930607,1.7268974073757166,56.59101993668179
Parks and Recreation,Recreation Leader,P,4/22/2019,16.24,23820.69,34.45,81.4,23936.54,28.207524156877604,0.027196223316912977,28.234720380194517
Police,Police Officer,F,1/1/2018,31.75,61972.8,4716.35,9347.28,76036.43000000001,37.536523319200484,1.9044417524732487,39.44096507167373
Public Works,Equipment Op II,F,4/27/2015,21.43,42763.36,683.8,0,43447.16,38.37481603790516,0.40908383885518745,38.78389987676035
Aviation,Custodial Worker I*U2,F,2/27/1995,17.69,36336,2171.17,5694.78,44201.95,39.50080445275471,1.573516835529272,41.074321288283976
Police,Police Officer,F,4/25/2016,34.27,69359.17,8893.37,2283.94,80536.48,38.92121950124576,3.3270371783648707,42.24825667961063
Police,Police Officer,F,2/12/2007,37.79,77606.4,1134.27,7887.54,86628.20999999999,39.49274329798278,0.38480876096647465,39.87755205894925
Police,Police Sergeant,F,5/12/2003,53.72,110785.6,60201.73,7391.48,178378.81000000003,39.65920155793573,14.367406017908625,54.02660757584435
Public Works,Electrician,F,2/15/2016,31.84,65398.4,0,375,65773.4,39.49942017781214,0,39.49942017781214
Police,Police Officer,F,12/14/2020,25.34,49121.2,1215.1,2212.65,52548.95,37.278550179102666,0.6147673689110154,37.893317548013684
Police,Police Officer,F,5/7/2007,37.79,77606.4,29849.25,3049.44,110505.09,39.49274329798278,10.12655973293708,49.61930303091986
Fire,Firefighter 56hr,F,5/17/1999,25.67,78362.87,33421.37,2845.05,114629.29,58.70581492913008,16.691823239739094,75.39763816886918
Police,Police Communications Supv,F,6/2/2008,37.14,75145.6,11012.22,3274.88,89432.70000000001,38.909738618947024,3.801354542065366,42.71109316101239
Water Services,Supplies Clerk II*U2,F,11/4/1985,23.05,47339.2,0,6187.08,53526.28,39.49541131319873,0,39.49541131319873
Fire,Fire Engineer 56hr,F,1/28/1988,26.95,77167.83,21475.91,8710.93,107354.67000000001,55.0648137576709,10.216407402121689,65.28122115979258
Fire,Fire Engineer 56hr,F,12/31/2007,26.95,78738.23,5511.52,4800.13,89049.88,56.18540744969316,2.6219114219114226,58.80731887160458
Planning & Development,Fire Protection Engineer,F,11/5/2018,45.31,89285.44,0,0,89285.44,37.89511569869107,0,37.89511569869107
Parks and Recreation,Recreation Leader,P,2/19/2001,20.55,9026.32,253.76,75,9355.08,8.446865057084034,0.15831305758313055,8.605178114667165
Police,Police Officer,F,4/23/2018,30.04,61055.6,2811.99,4379.1,68246.69,39.08609034108368,1.2001049882208337,40.28619532930452
Water Services,Admin Asst II,F,6/29/1998,30.34,62332.96,0,0,62332.96,39.50925409461995,0,39.50925409461995
Police,Police Officer,F,6/16/1997,37.79,77606.4,1195.04,5470.36,84271.79999999999,39.49274329798278,0.40542539404672245,39.8981686920295
Police,Police Automated System Sec,F,6/28/2021,15.55,16152.8,1819.2,742.15,18714.15,19.97625525599802,1.4998763294583228,21.476131585456343
Police,Info Tech Analyst/Prg II,F,6/28/2021,30.34,31505.6,0,75,31580.6,19.96957557933168,0,19.96957557933168
Aviation,Aviation Dispatcher,F,11/19/2018,20.55,42037.98,22428.95,1135.96,65602.89000000001,39.339303761931504,13.992731923388856,53.33203568532036
Street Transportation,Electrician,F,12/18/2006,27.27,54851.2,3424.49,352.4,58628.09,38.68099630475868,1.6099639878517764,40.29096029261046
Police,Admin Asst I,F,3/14/1983,32.56,66996.8,1567.4,8679.8,77244,39.57002457002457,0.6171643671643672,40.187188937188935
Police,Police Officer,F,1/28/2019,28.41,58174.61,3526.11,6962.65,68663.37,39.37847588877156,1.5912192348306393,40.9696951236022
Water Services,Utility Technician,F,10/21/2019,19.59,37980.4,5895.76,245.65,44121.810000000005,37.283936074135156,3.858431172366854,41.14236724650201
Aviation,Aviation Dispatch Supv I,F,10/24/2005,30.34,58554.6,9804.89,1274.71,69634.2,37.114370468029,4.143168027314369,41.25753849534337
Water Services,Utility Technician,F,4/24/2006,23.05,35634,0,1897.4,37531.4,29.72968463207075,0,29.72968463207075
Fire,Firefighter 56hr,F,7/21/2003,28.17,78025.07,18135.87,5556.41,101717.35,53.26525081237541,8.25385707654078,61.519107888916196
Water Services,Human Resources Analyst,F,11/22/2004,32.56,63269.92,0,2502.2,65772.12,37.36883386883387,0,37.36883386883387
Public Works,Solid Waste Supervisor,F,7/30/2007,34.2,70673.92,0,1600.04,72273.95999999999,39.740170940170934,0,39.740170940170934
Police,Police Officer,F,10/15/2001,37.79,77606.4,24413.46,8721.01,110740.86999999998,39.49274329798278,8.282431249618336,47.77517454760111
Police,Police Officer,F,4/20/2020,26.82,53870.4,2267.3,5522.98,61660.68000000001,38.62674238513165,1.0838161341517045,39.71055851928335
Police,Police Sergeant,F,12/25/2000,53.72,110785.6,963.65,3722.51,115471.76,39.65920155793573,0.2299792848005804,39.88918084273631
Police,Police Officer,F,11/4/2019,26.82,55080,2120.4,4304.5,61504.9,39.49406298399587,1.013594906212356,40.50765789020822
Fire,Fire Emergency Dispatcher,F,8/23/2021,30.13,20473.33,8013.72,847.31,29334.360000000004,13.067304501008453,3.409890474610023,16.477194975618474
Aviation,Airport Operations Assistant,F,9/20/2021,17.97,9955.38,2063.63,257.6,12276.609999999999,10.653846153846153,1.4722757302056135,12.126121884051766
Water Services,Ops & Maintenance Tech*SCBA,F,9/24/2018,24.02,44055.84,4111.75,2384.73,50552.32,35.271760712226985,2.1946188005721727,37.46637951279916
Police,Police Officer,F,10/10/2016,34.27,65664.8,10652.77,2449.19,78766.76000000001,36.84810666427241,3.9852341511226834,40.83334081539509
