id,latitude,longitude,severity,severity2,road_length_shutdown,dateof,day_of_week,month_of_year,week_of_year,time,city,zipcode,highway,street,side,special_condition,light,weather,wind,wind_speed,precipitation,visibility
A-91199,33.436904,-112.074452,Extreme Delay,Severe,0.466,2016-12-01,Thu,12,48,01:33:56,Phoenix,85003,Street,W Buckeye Rd,L,Other,Daylight,Fair,Other,6.9,NA,10
A-91201,33.66921,-112.09007,Somewhat Delay,Minor/Slight,0.745,2016-12-01,Thu,12,48,02:12:50,Phoenix,85027,highway,Loop 101 E,R,RoadHighwayJunction,Daylight,Fair,Other,3.5,NA,10
A-91205,33.4701,-112.03871,Somewhat Delay,Minor/Slight,0.4479999999999999,2016-12-01,Thu,12,48,08:35:03,Phoenix,85006,highway,Piestewa Fwy S,R,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91208,33.602759999999996,-112.00964,Somewhat Delay,Minor/Slight,0.679,2016-12-01,Thu,12,48,11:11:46,Phoenix,85032,highway,Piestewa Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91209,33.66876,-112.07275,Somewhat Delay,Minor/Slight,0.82,2016-12-01,Thu,12,48,11:11:46,Phoenix,85024,highway,Loop 101 E,R,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91210,33.490916,-112.112963,Somewhat Delay,Minor/Slight,0.81,2016-12-01,Thu,12,48,11:53:07,Phoenix,85015,highway,Black Canyon Fwy N,R,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91211,33.46216,-112.023596,Somewhat Delay,Minor/Slight,0.374,2016-12-01,Thu,12,48,12:02:02,Phoenix,85008,highway,AZ-202 Loop W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91216,33.52791,-112.04371,Somewhat Delay,Minor/Slight,0.623,2016-12-02,Fri,12,49,00:07:27,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91224,33.48425,-112.11319,Somewhat Delay,Minor/Slight,0.645,2016-12-02,Fri,12,49,05:37:33,Phoenix,85015,highway,Black Canyon Fwy S,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91225,33.52791,-112.04371,Somewhat Delay,Minor/Slight,0.623,2016-12-02,Fri,12,49,06:12:00,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91227,33.46213,-112.05922,Somewhat Delay,Minor/Slight,0.649,2016-12-02,Fri,12,49,06:12:00,Phoenix,85006,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91228,33.5276,-112.11241,Somewhat Delay,Minor/Slight,0.48,2016-12-02,Fri,12,49,08:30:53,Phoenix,85015,highway,Black Canyon Fwy S,R,Signal_StopSign,Daylight,Fair,Other,9.2,NA,10
A-91229,33.46268,-112.19308,Somewhat Delay,Minor/Slight,0.82,2016-12-02,Fri,12,49,08:26:41,Phoenix,85043,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91231,33.66883,-112.11696,Somewhat Delay,Minor/Slight,0.7020000000000001,2016-12-02,Fri,12,49,10:22:19,Phoenix,85027,highway,Loop 101 W,R,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91235,33.41452,-111.97833,Somewhat Delay,Minor/Slight,0.28300000000000003,2016-12-02,Fri,12,49,11:32:45,Phoenix,85040,highway,Hohokam Expy S,R,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91242,33.572066,-112.117063,Somewhat Delay,Minor/Slight,0.081,2016-12-03,Sat,12,49,21:10:46,Phoenix,85021,highway,Black Canyon Fwy N,R,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91247,33.705,-112.11595,Moderate Delay,Moderate,1.763,2016-12-04,Sun,12,49,14:24:21,Phoenix,85083,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91261,33.662712,-111.947338,Somewhat Delay,Minor/Slight,0.508,2016-12-05,Mon,12,49,02:02:48,Phoenix,85054,highway,Loop 101 E,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91264,33.65932,-111.93121,Somewhat Delay,Minor/Slight,0.348,2016-12-05,Mon,12,49,04:13:07,Phoenix,85054,highway,Loop 101 E,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91269,33.460119,-112.08263,Somewhat Delay,Minor/Slight,0.205,2016-12-05,Mon,12,49,09:42:45,Phoenix,85003,Street,N 7th Ave,R,Signal_StopSign,Daylight,Fair,Other,9.2,NA,10
A-91278,33.670190000000005,-112.03802,Somewhat Delay,Minor/Slight,1.215,2016-12-05,Mon,12,49,22:40:44,Phoenix,85024,highway,Loop 101 E,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91282,33.59225,-112.00959,Somewhat Delay,Minor/Slight,1.078,2016-12-05,Mon,12,49,23:24:46,Phoenix,85028,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91283,33.51347,-112.11244,Somewhat Delay,Minor/Slight,1.516,2016-12-05,Mon,12,49,23:38:23,Phoenix,85015,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91288,33.6702,-112.03737,Moderate Delay,Moderate,2.483,2016-12-06,Tue,12,49,00:10:28,Phoenix,85024,highway,Loop 101 E,R,Unknown,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-91293,33.2936,-111.98275,Somewhat Delay,Minor/Slight,1.314,2016-12-06,Tue,12,49,03:09:47,Phoenix,85048,Street,E Pecos Rd,R,Unknown,Daylight,Fair,Other,8.1,NA,10
A-91301,33.645109999999995,-112.00153,Somewhat Delay,Minor/Slight,0.634,2016-12-06,Tue,12,49,10:47:47,Phoenix,85032,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91302,33.64399,-112.11544,Somewhat Delay,Minor/Slight,0.5329999999999999,2016-12-06,Tue,12,49,11:14:04,Phoenix,85053,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91306,33.67259,-111.97089,Somewhat Delay,Minor/Slight,0.742,2016-12-06,Tue,12,49,18:26:00,Phoenix,85054,highway,Pima Fwy W,R,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91307,33.67288,-111.97729,Somewhat Delay,Minor/Slight,0.068,2016-12-06,Tue,12,49,19:14:13,Phoenix,85054,Street,N Tatum Blvd,R,Signal_StopSign,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91313,33.46151,-112.07706,Somewhat Delay,Minor/Slight,0.402,2016-12-07,Wed,12,49,00:00:04,Phoenix,85003,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91316,33.601259999999996,-112.11691,Somewhat Delay,Minor/Slight,0.778,2016-12-07,Wed,12,49,00:11:50,Phoenix,85029-1346,highway,N Black Canyon Hwy,L,Unknown,Darkness_Lights_Unlit,Fair,Other,3.5,NA,10
A-91317,33.553668,-112.11699099999998,Somewhat Delay,Minor/Slight,0.039,2016-12-07,Wed,12,49,00:34:10,Phoenix,85051-6302,Street,N 27th Ave,L,Other,Daylight,Fair,Other,3.5,NA,10
A-91318,33.5531,-112.117,Extreme Delay,Severe,0,2016-12-07,Wed,12,49,00:46:14,Phoenix,85051,Street,N 27th Ave,L,Signal_StopSign,Daylight,Fair,Other,3.5,NA,10
A-91323,33.46305,-112.18034,Somewhat Delay,Minor/Slight,0.716,2016-12-07,Wed,12,49,01:04:45,Phoenix,85043,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91330,33.42738,-112.04772,Somewhat Delay,Minor/Slight,0.752,2016-12-07,Wed,12,49,02:01:43,Phoenix,85034,Street,S 16th St,R,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91336,33.451248,-112.10808,Moderate Delay,Moderate,0.504,2016-12-07,Wed,12,49,05:29:33,Phoenix,85009,Street,W Van Buren St,R,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-91341,33.55819,-112.11347,Moderate Delay,Moderate,0.604,2016-12-07,Wed,12,49,06:33:28,Phoenix,85021,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91343,33.31539,-111.97211,Somewhat Delay,Minor/Slight,1.716,2016-12-07,Wed,12,49,07:59:51,Phoenix,85044,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91344,33.33835,-111.97235,Somewhat Delay,Minor/Slight,1.602,2016-12-07,Wed,12,49,07:59:51,Phoenix,85044,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91346,33.3533,-111.97138,Somewhat Delay,Minor/Slight,0.635,2016-12-07,Wed,12,49,08:49:46,Phoenix,85044,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91349,33.542759999999994,-112.11227,Somewhat Delay,Minor/Slight,1.073,2016-12-07,Wed,12,49,10:14:05,Phoenix,85021,highway,Black Canyon Fwy N,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91350,33.49511,-112.11293,Somewhat Delay,Minor/Slight,0.28,2016-12-07,Wed,12,49,10:49:04,Phoenix,85015,Street,W Indian School Rd,R,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-91351,33.46209,-112.118289,Somewhat Delay,Minor/Slight,0.215,2016-12-07,Wed,12,49,11:20:47,Phoenix,85009,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-91356,33.46216,-112.0236,Somewhat Delay,Minor/Slight,0.374,2016-12-07,Wed,12,49,23:34:47,Phoenix,85008,highway,AZ-202 Loop W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91357,33.55819,-112.11347,Somewhat Delay,Minor/Slight,0.604,2016-12-07,Wed,12,49,23:37:26,Phoenix,85021,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91360,33.45617,-111.97465,Somewhat Delay,Minor/Slight,0.51,2016-12-08,Thu,12,49,00:01:32,Phoenix,85008,highway,AZ-202 Loop W,R,Unknown,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-91372,33.46278,-112.16351,Somewhat Delay,Minor/Slight,0.608,2016-12-08,Thu,12,49,01:59:58,Phoenix,85043,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91374,33.47098,-112.11226,Somewhat Delay,Minor/Slight,0.285,2016-12-08,Thu,12,49,03:10:50,Phoenix,85009,highway,US-60 E,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91381,33.461859999999994,-112.04641,Somewhat Delay,Minor/Slight,0.607,2016-12-08,Thu,12,49,05:26:47,Phoenix,85006,highway,AZ-202 Loop E,R,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91382,33.64888,-112.11483,Somewhat Delay,Minor/Slight,0.41,2016-12-08,Thu,12,49,06:39:53,Phoenix,85053,highway,Black Canyon Fwy N,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91387,33.67302,-111.987739,Somewhat Delay,Minor/Slight,1.247,2016-12-08,Thu,12,49,11:34:07,Phoenix,85050,highway,Pima Fwy W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91390,33.511379999999996,-112.11272,Somewhat Delay,Minor/Slight,0.13,2016-12-08,Thu,12,49,23:59:21,Phoenix,85017-3207,highway,N Black Canyon Hwy,L,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-91392,33.49855,-112.11305,Somewhat Delay,Minor/Slight,0.484,2016-12-09,Fri,12,50,00:58:10,Phoenix,85015,highway,Black Canyon Fwy S,R,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-91394,33.54959,-112.1123,Somewhat Delay,Minor/Slight,0.602,2016-12-09,Fri,12,50,06:43:26,Phoenix,85021,highway,Black Canyon Fwy N,R,RoadHighwayJunction,Daylight,Fair,Other,4.6,NA,10
A-91399,33.46196,-112.13976,Somewhat Delay,Minor/Slight,0.6920000000000001,2016-12-09,Fri,12,50,08:50:28,Phoenix,85009,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91400,33.4701,-112.03871,Somewhat Delay,Minor/Slight,0.4479999999999999,2016-12-09,Fri,12,50,08:51:49,Phoenix,85006,highway,Piestewa Fwy S,R,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-91402,33.50184,-112.04359,Somewhat Delay,Minor/Slight,0.317,2016-12-09,Fri,12,50,11:22:04,Phoenix,85016,highway,Piestewa Fwy N,R,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91413,33.41073,-112.00133999999998,Somewhat Delay,Minor/Slight,0.64,2016-12-10,Sat,12,50,19:36:34,Phoenix,85040,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91416,33.54959,-112.1123,Moderate Delay,Moderate,0.602,2016-12-11,Sun,12,50,07:07:37,Phoenix,85021,highway,Black Canyon Fwy N,R,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91426,33.46291,-112.20351,Extreme Delay,Severe,0.782,2016-12-11,Sun,12,50,23:40:44,Phoenix,85043,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91427,33.45159,-112.20346,Extreme Delay,Severe,0.8170000000000001,2016-12-11,Sun,12,50,23:40:44,Phoenix,85043-3425,Street,N 67th Ave,L,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91442,33.705,-112.11595,Somewhat Delay,Minor/Slight,0.7559999999999999,2016-12-12,Mon,12,50,10:56:45,Phoenix,85083,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91444,33.4737,-112.26643,Somewhat Delay,Minor/Slight,0.79,2016-12-12,Mon,12,50,11:43:27,Phoenix,85037,highway,Agua Fria Fwy N,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91445,33.46197,-112.144556,Somewhat Delay,Minor/Slight,0.775,2016-12-12,Mon,12,50,12:20:45,Phoenix,85009,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91446,33.47098,-112.11226,Somewhat Delay,Minor/Slight,0.285,2016-12-12,Mon,12,50,23:05:07,Phoenix,85009,highway,US-60 E,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91447,33.47098,-112.11226,Moderate Delay,Moderate,0.285,2016-12-12,Mon,12,50,23:43:48,Phoenix,85009,highway,US-60 E,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91455,33.42955,-112.08599,Somewhat Delay,Minor/Slight,0.466,2016-12-13,Tue,12,50,01:24:27,Phoenix,85007,highway,US-60 E,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91456,33.57677,-112.01298,Somewhat Delay,Minor/Slight,1.074,2016-12-13,Tue,12,50,01:59:47,Phoenix,85028,highway,Piestewa Fwy S,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91458,33.49084000000001,-112.04362,Somewhat Delay,Minor/Slight,0.574,2016-12-13,Tue,12,50,02:06:27,Phoenix,85016,highway,Piestewa Fwy N,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91459,33.65932,-111.93121,Moderate Delay,Moderate,0.716,2016-12-13,Tue,12,50,03:23:57,Phoenix,85054,highway,Loop 101 E,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91461,33.57354,-112.1172,Somewhat Delay,Minor/Slight,0.73,2016-12-13,Tue,12,50,09:01:03,Phoenix,85021,highway,Black Canyon Fwy S,R,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91463,33.41107,-111.990238,Somewhat Delay,Minor/Slight,0.6859999999999999,2016-12-13,Tue,12,50,11:11:46,Phoenix,85040,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91465,33.474425,-112.112931,Somewhat Delay,Minor/Slight,0.674,2016-12-13,Tue,12,50,11:40:07,Phoenix,85009,highway,US-60 W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91466,33.461859999999994,-112.077298,Somewhat Delay,Minor/Slight,0.622,2016-12-13,Tue,12,50,11:40:07,Phoenix,85003,highway,Pearl Harbor Memorial Highway,R,Other,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91474,33.67822,-112.11276,Moderate Delay,Moderate,1.125,2016-12-14,Wed,12,50,00:39:15,Phoenix,85027,highway,Black Canyon Fwy S,R,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-91485,33.43954,-111.96676,Somewhat Delay,Minor/Slight,1.308,2016-12-14,Wed,12,50,09:31:47,Phoenix,85034,highway,AZ-202 Loop E,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91489,33.485240000000005,-112.04093,Somewhat Delay,Minor/Slight,0.757,2016-12-14,Wed,12,50,11:38:24,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91490,33.41452,-111.97833,Somewhat Delay,Minor/Slight,0.28300000000000003,2016-12-14,Wed,12,50,12:53:06,Phoenix,85040,highway,Hohokam Expy S,R,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91506,33.83364,-112.14473,Somewhat Delay,Minor/Slight,0.907,2016-12-15,Thu,12,50,08:24:07,Phoenix,85086,highway,Black Canyon Fwy N,R,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91507,33.54959,-112.1123,Somewhat Delay,Minor/Slight,0.602,2016-12-15,Thu,12,50,08:33:05,Phoenix,85021,highway,Black Canyon Fwy N,R,RoadHighwayJunction,Daylight,Fair,Other,3.5,NA,10
A-91516,33.462109999999996,-112.06041,Somewhat Delay,Minor/Slight,0.535,2016-12-15,Thu,12,50,12:09:44,Phoenix,85006,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91529,33.66952,-112.09772,Somewhat Delay,Minor/Slight,0.35700000000000004,2016-12-16,Fri,12,51,00:18:43,Phoenix,85027,highway,Loop 101 E,R,Unknown,Darkness_Lights_Unlit,Other,Other,6.9,0,10
A-91531,33.34452,-111.97209,Moderate Delay,Moderate,0.647,2016-12-16,Fri,12,51,00:46:20,Phoenix,85044,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,8.1,0.01,10
A-91536,33.50184,-112.04359,Moderate Delay,Moderate,0.262,2016-12-16,Fri,12,51,05:57:02,Phoenix,85016,highway,Piestewa Fwy N,R,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91541,33.46768,-112.11057,Moderate Delay,Moderate,0.264,2016-12-16,Fri,12,51,07:10:05,Phoenix,85009,highway,US-60 W,R,RoadHighwayJunction,Daylight,Fair,Other,8.1,NA,10
A-91545,33.645109999999995,-112.00153,Somewhat Delay,Minor/Slight,1.789,2016-12-16,Fri,12,51,08:48:47,Phoenix,85032,highway,Piestewa Fwy S,R,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91579,33.488459999999996,-112.26376,Somewhat Delay,Minor/Slight,0.7,2016-12-18,Sun,12,51,02:20:58,Phoenix,85037,highway,Agua Fria Fwy N,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91581,33.46213,-112.05922,Somewhat Delay,Minor/Slight,0.649,2016-12-18,Sun,12,51,05:21:06,Phoenix,85006,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,9.2,NA,10
A-91584,33.43954,-111.96676,Moderate Delay,Moderate,1.308,2016-12-18,Sun,12,51,09:44:55,Phoenix,85034,highway,AZ-202 Loop E,R,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91585,33.42645,-112.02957,Moderate Delay,Moderate,0.316,2016-12-18,Sun,12,51,11:49:53,Phoenix,85034,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91598,33.538465,-112.04168,Somewhat Delay,Minor/Slight,0.33399999999999996,2016-12-18,Sun,12,51,18:42:56,Phoenix,85020,highway,Piestewa Fwy S,R,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91605,33.512727000000005,-112.044434,Somewhat Delay,Minor/Slight,0.174,2016-12-19,Mon,12,51,00:22:41,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-91607,33.46209,-112.11829,Somewhat Delay,Minor/Slight,0.215,2016-12-19,Mon,12,51,00:56:28,Phoenix,85009,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91614,33.3533,-111.97138,Somewhat Delay,Minor/Slight,0.297,2016-12-19,Mon,12,51,05:34:46,Phoenix,85044,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,16.1,NA,10
A-91621,33.47098,-112.11226,Somewhat Delay,Minor/Slight,0.285,2016-12-19,Mon,12,51,08:20:52,Phoenix,85009,highway,US-60 E,R,Unknown,Daylight,Fair,Other,12.7,NA,10
A-91622,33.6548,-112.11461,Somewhat Delay,Minor/Slight,0.495,2016-12-19,Mon,12,51,10:14:34,Phoenix,85027,highway,Black Canyon Fwy S,R,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91623,33.45924,-112.00607,Somewhat Delay,Minor/Slight,0.741,2016-12-19,Mon,12,51,10:25:02,Phoenix,85008,highway,AZ-202 Loop W,R,RoadHighwayJunction,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91624,33.427040000000005,-111.97808,Somewhat Delay,Minor/Slight,0.6859999999999999,2016-12-19,Mon,12,51,10:48:42,Phoenix,85034,highway,Hohokam Expy S,R,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91625,33.46216,-112.023596,Somewhat Delay,Minor/Slight,0.374,2016-12-19,Mon,12,51,11:19:58,Phoenix,85008,highway,AZ-202 Loop W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91626,33.4701,-112.03871,Somewhat Delay,Minor/Slight,0.4479999999999999,2016-12-19,Mon,12,51,11:29:43,Phoenix,85006,highway,Piestewa Fwy S,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91644,33.485240000000005,-112.04093,Somewhat Delay,Minor/Slight,0.757,2016-12-20,Tue,12,51,11:51:07,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91647,33.461859999999994,-112.07731,Somewhat Delay,Minor/Slight,0.297,2016-12-20,Tue,12,51,23:10:15,Phoenix,85003,highway,Pearl Harbor Memorial Highway,R,Other,Darkness_Lights_Lit,Other,Other,8.1,NA,10
A-91649,33.6702,-112.03737,Somewhat Delay,Minor/Slight,0.84,2016-12-20,Tue,12,51,23:18:23,Phoenix,85024,highway,Loop 101 E,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91653,33.41083,-111.98399,Somewhat Delay,Minor/Slight,0.79,2016-12-21,Wed,12,51,00:00:05,Phoenix,85040,highway,Pearl Harbor Memorial Highway,R,RoadHighwayJunction,Darkness_Lights_Lit,Other,Other,6.9,NA,10
A-91658,33.41042,-111.97834,Somewhat Delay,Minor/Slight,0.07400000000000001,2016-12-21,Wed,12,51,00:34:44,Phoenix,85040,highway,Hohokam Expy S,R,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91675,33.46213,-112.05922,Somewhat Delay,Minor/Slight,1.664,2016-12-21,Wed,12,51,06:57:45,Phoenix,85006,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Other,Other,9.2,0,10
A-91676,33.462270000000004,-112.22652,Somewhat Delay,Minor/Slight,0.324,2016-12-21,Wed,12,51,07:01:21,Phoenix,85043,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Other,Other,4.6,NA,10
A-91681,33.42753,-112.05232,Somewhat Delay,Minor/Slight,0.266,2016-12-21,Wed,12,51,09:40:18,Phoenix,85034,highway,US-60 E,R,RoadHighwayJunction,Daylight,Other,Other,8.1,NA,10
A-91683,33.474940000000004,-112.11297,Somewhat Delay,Minor/Slight,0.638,2016-12-21,Wed,12,51,10:46:35,Phoenix,85009,highway,US-60 W,R,Unknown,Darkness_Lights_Unlit,Other,Other,8.1,NA,10
